0	1	2		
1	0	3	6	
2	0	4	7	
3	1	5	6	
4	2	7	8	
5	3	9	13	
6	3	10	14	
7	4	10	15	
8	4	11	16	
9	5	12	13	
10	6	7	14	15
11	8	16	17	
12	9	20		
13	5	9	18	21
14	6	10	18	22
15	7	10	19	23
16	8	11	19	24
17	11	25		
18	13	14	21	22
19	15	16	23	24
20	12	26	29	
21	13	18	26	30
22	14	18	27	31
23	15	19	27	32
24	16	19	28	33
25	17	28	34	
26	20	21	29	30
27	22	23	31	32
28	24	25	33	34
29	20	26	37	
30	21	26	35	38
31	22	27	35	39
32	23	27	36	40
33	24	28	36	41
34	25	28	42	
35	30	31	38	39
36	32	33	40	41
37	29	43	46	
38	30	35	43	47
39	31	35	44	48
40	32	36	44	49
41	33	36	45	50
42	34	45	51	
43	37	38	46	47
44	39	40	48	49
45	41	42	50	51
46	37	43	54	
47	38	43	52	55
48	39	44	52	56
49	40	44	53	57
50	41	45	53	48
51	42	45	59	
52	47	48	55	56
53	49	50	57	58
54	46	60		
55	47	52	60	63
56	48	52	61	64
57	49	53	61	65
58	50	53	62	66
59	51	62		
60	54	55	63	
61	56	57	64	65
62	58	59	66	
63	55	60	67	
64	56	61	67	69
65	57	61	68	70
66	58	62	68	
67	63	64	69	
68	65	66	70	
69	64	67	71	
70	65	68	71	
71	69	70		
